МесяцДатыЗаказа;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
3;203987075;66211323;0.32458587388441157;997.4138408929997;3367;66383;213196;3;52995;1249
4;193096056;64649746;0.3348061443575005;1008.6235861272759;3316;64097;218004;3;50695;1275
