МесяцДатыЗаказа;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
3;115221559;33439121;0.290215835388931;900.2320904563198;3212;37145;100140;3;31706;1055
4;117733366;36454988;0.30964024251205047;948.0401529139469;3150;38453;115736;3;32432;1124
