ФормаОплаты;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
Наличная;110808585;42909608;0.3872408261507897;1125.1732745961822;3186;38136;153577;4;28342;1514
Безналичная;286274546;87951461;0.3072276673875155;952.4328705709088;3406;92344;277623;3;68809;1278
