Гео;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
Регионы;146478228;42388730;0.28938587378323555;1035.5890257011629;3684;40932;99092;2;32492;1305
МО;26202428;8411758;0.3210297152615017;888.1594340618731;2858;9471;31906;3;6955;1209
Москва;60274267;19093621;0.31677898297792656;757.8337368525501;2483;25195;84878;3;19168;996
