ДеньНедели;Выручка;Абсолютная маржа;Маржа;Средняя маржа;Средний чек;Кол-во чеков;Кол-во товаров;Среднее кол-во товаров в  чеке;Кол-во уникальных клиентов;Ценность клиента
Вторник;61227871;20214884;0.33015820523957135;1010.4410676796961;3400;20006;65312;3;17933;1127
Пятница;59258634;19479416;0.32871861339226954;1001.1006269914689;3379;19458;61245;3;17530;1111
Суббота;59119965;19577419;0.33114733745190816;1017.59025936899;3341;19239;64667;3;17108;1144
Понедельник;63054047;20791071;0.32973412475808256;1016.3800840829097;3373;20456;68628;3;18360;1132
Четверг;53148180;17051151;0.3208228579040712;928.7625142981644;3184;18359;63711;3;16524;1032
Воскресенье;47115546;15998407;0.3395568630362471;1104.099861973775;3542;14490;44848;3;13210;1211
Среда;54158888;17748722;0.3277157758482781;960.8446297098311;3206;18472;62789;3;16631;1067
